sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,species
5.1,3.5,1.4,0.2,0,setosa
4.9,3.0,1.4,0.2,0,setosa
4.7,3.2,1.3,0.2,0,setosa
4.6,3.1,1.5,0.2,0,setosa
5.0,3.6,1.4,0.2,0,setosa
5.4,3.9,1.7,0.4,0,setosa
4.6,3.4,1.4,0.3,0,setosa
5.0,3.4,1.5,0.2,0,setosa
4.4,2.9,1.4,0.2,0,setosa
4.9,3.1,1.5,0.1,0,setosa
5.4,3.7,1.5,0.2,0,setosa
4.8,3.4,1.6,0.2,0,setosa
4.8,3.0,1.4,0.1,0,setosa
4.3,3.0,1.1,0.1,0,setosa
5.8,4.0,1.2,0.2,0,setosa
5.7,4.4,1.5,0.4,0,setosa
5.4,3.9,1.3,0.4,0,setosa
5.1,3.5,1.4,0.3,0,setosa
5.7,3.8,1.7,0.3,0,setosa
5.1,3.8,1.5,0.3,0,setosa
5.4,3.4,1.7,0.2,0,setosa
5.1,3.7,1.5,0.4,0,setosa
4.6,3.6,1.0,0.2,0,setosa
5.1,3.3,1.7,0.5,0,setosa
4.8,3.4,1.9,0.2,0,setosa
5.0,3.0,1.6,0.2,0,setosa
5.0,3.4,1.6,0.4,0,setosa
5.2,3.5,1.5,0.2,0,setosa
5.2,3.4,1.4,0.2,0,setosa
4.7,3.2,1.6,0.2,0,setosa
4.8,3.1,1.6,0.2,0,setosa
5.4,3.4,1.5,0.4,0,setosa
5.2,4.1,1.5,0.1,0,setosa
5.5,4.2,1.4,0.2,0,setosa
4.9,3.1,1.5,0.2,0,setosa
5.0,3.2,1.2,0.2,0,setosa
5.5,3.5,1.3,0.2,0,setosa
4.9,3.6,1.4,0.1,0,setosa
4.4,3.0,1.3,0.2,0,setosa
5.1,3.4,1.5,0.2,0,setosa
5.0,3.5,1.3,0.3,0,setosa
4.5,2.3,1.3,0.3,0,setosa
4.4,3.2,1.3,0.2,0,setosa
5.0,3.5,1.6,0.6,0,setosa
5.1,3.8,1.9,0.4,0,setosa
4.8,3.0,1.4,0.3,0,setosa
5.1,3.8,1.6,0.2,0,setosa
4.6,3.2,1.4,0.2,0,setosa
5.3,3.7,1.5,0.2,0,setosa
5.0,3.3,1.4,0.2,0,setosa
7.0,3.2,4.7,1.4,1,versicolor
6.4,3.2,4.5,1.5,1,versicolor
6.9,3.1,4.9,1.5,1,versicolor
5.5,2.3,4.0,1.3,1,versicolor
6.5,2.8,4.6,1.5,1,versicolor
5.7,2.8,4.5,1.3,1,versicolor
6.3,3.3,4.7,1.6,1,versicolor
4.9,2.4,3.3,1.0,1,versicolor
6.6,2.9,4.6,1.3,1,versicolor
5.2,2.7,3.9,1.4,1,versicolor
5.0,2.0,3.5,1.0,1,versicolor
5.9,3.0,4.2,1.5,1,versicolor
6.0,2.2,4.0,1.0,1,versicolor
6.1,2.9,4.7,1.4,1,versicolor
5.6,2.9,3.6,1.3,1,versicolor
6.7,3.1,4.4,1.4,1,versicolor
5.6,3.0,4.5,1.5,1,versicolor
5.8,2.7,4.1,1.0,1,versicolor
6.2,2.2,4.5,1.5,1,versicolor
5.6,2.5,3.9,1.1,1,versicolor
5.9,3.2,4.8,1.8,1,versicolor
6.1,2.8,4.0,1.3,1,versicolor
6.3,2.5,4.9,1.5,1,versicolor
6.1,2.8,4.7,1.2,1,versicolor
6.4,2.9,4.3,1.3,1,versicolor
6.6,3.0,4.4,1.4,1,versicolor
6.8,2.8,4.8,1.4,1,versicolor
6.7,3.0,5.0,1.7,1,versicolor
6.0,2.9,4.5,1.5,1,versicolor
5.7,2.6,3.5,1.0,1,versicolor
5.5,2.4,3.8,1.1,1,versicolor
5.5,2.4,3.7,1.0,1,versicolor
5.8,2.7,3.9,1.2,1,versicolor
6.0,2.7,5.1,1.6,1,versicolor
5.4,3.0,4.5,1.5,1,versicolor
6.0,3.4,4.5,1.6,1,versicolor
6.7,3.1,4.7,1.5,1,versicolor
6.3,2.3,4.4,1.3,1,versicolor
5.6,3.0,4.1,1.3,1,versicolor
5.5,2.5,4.0,1.3,1,versicolor
5.5,2.6,4.4,1.2,1,versicolor
6.1,3.0,4.6,1.4,1,versicolor
5.8,2.6,4.0,1.2,1,versicolor
5.0,2.3,3.3,1.0,1,versicolor
5.6,2.7,4.2,1.3,1,versicolor
5.7,3.0,4.2,1.2,1,versicolor
5.7,2.9,4.2,1.3,1,versicolor
6.2,2.9,4.3,1.3,1,versicolor
5.1,2.5,3.0,1.1,1,versicolor
5.7,2.8,4.1,1.3,1,versicolor
6.3,3.3,6.0,2.5,2,virginica
5.8,2.7,5.1,1.9,2,virginica
7.1,3.0,5.9,2.1,2,virginica
6.3,2.9,5.6,1.8,2,virginica
6.5,3.0,5.8,2.2,2,virginica
7.6,3.0,6.6,2.1,2,virginica
4.9,2.5,4.5,1.7,2,virginica
7.3,2.9,6.3,1.8,2,virginica
6.7,2.5,5.8,1.8,2,virginica
7.2,3.6,6.1,2.5,2,virginica
6.5,3.2,5.1,2.0,2,virginica
6.4,2.7,5.3,1.9,2,virginica
6.8,3.0,5.5,2.1,2,virginica
5.7,2.5,5.0,2.0,2,virginica
5.8,2.8,5.1,2.4,2,virginica
6.4,3.2,5.3,2.3,2,virginica
6.5,3.0,5.5,1.8,2,virginica
7.7,3.8,6.7,2.2,2,virginica
7.7,2.6,6.9,2.3,2,virginica
6.0,2.2,5.0,1.5,2,virginica
6.9,3.2,5.7,2.3,2,virginica
5.6,2.8,4.9,2.0,2,virginica
7.7,2.8,6.7,2.0,2,virginica
6.3,2.7,4.9,1.8,2,virginica
6.7,3.3,5.7,2.1,2,virginica
7.2,3.2,6.0,1.8,2,virginica
6.2,2.8,4.8,1.8,2,virginica
6.1,3.0,4.9,1.8,2,virginica
6.4,2.8,5.6,2.1,2,virginica
7.2,3.0,5.8,1.6,2,virginica
7.4,2.8,6.1,1.9,2,virginica
7.9,3.8,6.4,2.0,2,virginica
6.4,2.8,5.6,2.2,2,virginica
6.3,2.8,5.1,1.5,2,virginica
6.1,2.6,5.6,1.4,2,virginica
7.7,3.0,6.1,2.3,2,virginica
6.3,3.4,5.6,2.4,2,virginica
6.4,3.1,5.5,1.8,2,virginica
6.0,3.0,4.8,1.8,2,virginica
6.9,3.1,5.4,2.1,2,virginica
6.7,3.1,5.6,2.4,2,virginica
6.9,3.1,5.1,2.3,2,virginica
5.8,2.7,5.1,1.9,2,virginica
6.8,3.2,5.9,2.3,2,virginica
6.7,3.3,5.7,2.5,2,virginica
6.7,3.0,5.2,2.3,2,virginica
6.3,2.5,5.0,1.9,2,virginica
6.5,3.0,5.2,2.0,2,virginica
6.2,3.4,5.4,2.3,2,virginica
5.9,3.0,5.1,1.8,2,virginica
7.354458803601239,3.183583554360004,6.197607040489854,2.206331566900412,3,iris synthetic
7.567749909644085,3.253469020248002,5.921897671092375,2.184465746553048,3,iris synthetic
7.45744343350173,3.573531002916906,6.407959614609415,2.622473000824957,3,iris synthetic
7.4081441361328935,3.43578298270214,6.390715681020728,2.708737481666251,3,iris synthetic
7.388958849353696,3.0842952916317685,6.107756726573147,2.423908025482367,3,iris synthetic
7.434917668790789,3.347982843422197,6.926930159966386,2.312153858487134,3,iris synthetic
7.430996101289078,3.6836144548441787,6.52161219908787,2.5637769549644878,3,iris synthetic
7.598477317120894,3.35892018405704,6.452432634184545,2.3927943717360307,3,iris synthetic
7.034352215167245,3.3836474678848396,6.712197324067105,2.360214140835103,3,iris synthetic
7.430226763874034,3.2212496276492693,6.606808797793945,2.6402509603535416,3,iris synthetic
7.3953611304549085,3.996379107167439,6.40561880475111,2.466174820229379,3,iris synthetic
7.281886550008992,3.5138203338931606,6.826764678651271,2.7084386902641437,3,iris synthetic
7.721002979877368,3.1237592589411793,6.181583147014509,2.551848933332625,3,iris synthetic
7.414834671379866,3.7834096192569784,6.606300347027922,2.518544120409848,3,iris synthetic
7.884671081775044,3.7000849543434886,6.360133500472649,2.7584775120327447,3,iris synthetic
7.198783768055579,3.524940118293676,6.384766371460569,2.349381976527596,3,iris synthetic
7.539675661392186,3.2458668728954936,6.73258568187827,2.3688433756101768,3,iris synthetic
7.286627365997517,3.638946722020106,6.727552128582968,2.7317376883746745,3,iris synthetic
7.608415565779636,3.4773999153021404,6.431078427500851,2.448055502733607,3,iris synthetic
7.372422191529379,3.4455223637078016,6.330905665486973,2.513477136030513,3,iris synthetic
7.200866655034061,3.5892974848058268,6.59095791851633,2.227225580727633,3,iris synthetic
7.470604173148722,3.435877612124046,6.471262511162795,2.4253457950169017,3,iris synthetic
7.5722280471857335,3.478985537696923,6.666315231074739,2.4443341441895283,3,iris synthetic
7.527075968276514,3.39322835182646,6.311984429095942,2.452181041988589,3,iris synthetic
7.700530290673678,3.345641570650927,6.648201625773011,2.423925042286041,3,iris synthetic
7.221749116897824,3.4842479241397677,6.486215860987726,2.646281285757455,3,iris synthetic
7.578487732732068,3.5874481862814376,6.8664743789115885,2.1429471569912346,3,iris synthetic
7.482606115368216,3.8274098342028986,6.3644441497938065,2.465543283997287,3,iris synthetic
7.502470126224389,3.4993114774749565,6.189715620969292,2.6977212187238546,3,iris synthetic
7.7851596803913425,3.874990148723685,6.314857647803511,2.6260309163226623,3,iris synthetic
7.199539092008566,3.3454330397228684,6.259254260020007,2.351158276394945,3,iris synthetic
7.322633405040766,3.366518123989955,6.712273741056409,2.5780766554127275,3,iris synthetic
7.430980763371617,3.371641238546405,6.3456707154776115,2.49823388172777,3,iris synthetic
7.688537460232617,3.6542648288657027,6.405159723061232,2.537305958404507,3,iris synthetic
7.273433272656065,3.5838540489509962,6.776110735088329,2.4048719993847927,3,iris synthetic
7.447654593939943,3.537139488048396,6.242342590334589,2.5919893348070486,3,iris synthetic
7.48441812034322,3.246029588031428,6.650491762450512,2.5751840290871115,3,iris synthetic
7.294020434335924,3.492065492301742,6.461467766084792,2.5123114688507253,3,iris synthetic
7.643070714435038,3.8398313430400175,6.292469703746703,2.46618238104862,3,iris synthetic
7.736872704965785,3.4098130540201206,6.218833102116501,2.582615809595592,3,iris synthetic
7.70320077581173,3.3212136450874774,6.665797928614981,2.5348830981566475,3,iris synthetic
7.653987332367393,3.4140218160406457,6.669679293742163,2.5272074327476934,3,iris synthetic
7.138798671786438,3.842510295829693,6.377868706940981,2.7406853827356117,3,iris synthetic
7.623342341203576,3.259994209173295,6.579835413425833,2.669906272645396,3,iris synthetic
7.391920142562143,3.2046232516643833,6.594492461265766,2.7880618725517308,3,iris synthetic
7.552399749277226,3.7370764255383335,6.20231229340029,2.553791121984367,3,iris synthetic
7.223558611618659,3.4871936412970834,6.414653680966561,2.5185853884676037,3,iris synthetic
7.505364449822155,3.7500336344258436,6.58373892928916,2.5521986610179015,3,iris synthetic
7.366946421285943,3.6833438797913054,6.657192482545976,2.5002796439972976,3,iris synthetic
7.225400386230285,3.5353690599230094,6.357615011341841,2.5254864010899722,3,iris synthetic
